,Instrument_Time,TS-7301,R5_Time,httemp-100000701,TS-7302,httemp-100000901,TS-7303,httemp-100001101
0,0.0,25.27,569.498,0.0,106.9,0.0,107.7,0.0
1,0.5,25.21,569.4928,2.5,106.8,2.5,107.7,2.5
2,1.0,25.23,569.4875,5.0,106.6,5.0,107.5,5.0
3,1.5,25.14,569.4823,7.5,106.9,7.5,107.7,7.5
4,2.0,25.13,569.477,10.0,107.0,10.0,107.7,10.0
5,2.5,25.29,569.4718,12.5,107.0,12.5,107.7,12.5
6,3.0,25.37,569.4666,15.0,107.1,15.0,107.8,15.0
7,3.5,25.14,569.4614,17.5,106.8,17.5,107.7,17.5
8,4.0,25.14,569.4561,20.0,106.9,20.0,107.7,20.0
9,4.5,25.44,569.4509,22.5,106.9,22.5,107.8,22.5
10,5.0,25.33,569.4463,24.5,106.8,24.5,107.6,24.5
11,5.5,25.46,,,106.9,,107.7,
12,6.0,25.13,,,106.8,,107.6,
13,6.5,25.27,,,106.8,,107.7,
14,7.0,25.33,,,106.9,,107.8,
15,7.5,25.32,,,106.9,,107.7,
16,8.0,25.26,,,107.0,,107.7,
17,8.5,25.12,,,107.1,,107.8,
18,9.0,25.15,,,107.0,,107.8,
19,9.5,25.2,,,106.8,,107.7,
20,10.0,25.34,,,107.1,,107.8,
21,10.5,25.5,,,107.0,,107.9,
22,11.0,25.31,,,107.0,,107.9,
23,11.5,25.42,,,107.1,,107.9,
24,12.0,25.22,,,106.9,,107.8,
25,12.5,25.3,,,106.8,,107.6,
26,13.0,25.26,,,106.9,,107.7,
27,13.5,25.16,,,106.9,,107.7,
28,14.0,25.19,,,106.9,,107.7,
29,14.5,25.36,,,107.0,,107.8,
30,15.0,25.48,,,107.0,,107.7,
31,15.5,25.59,,,107.1,,107.9,
32,16.0,25.37,,,106.8,,107.7,
33,16.5,25.34,,,106.9,,107.7,
34,17.0,25.26,,,106.8,,107.8,
35,17.5,25.13,,,106.6,,107.6,
36,18.0,25.16,,,106.7,,107.6,
37,18.5,25.26,,,106.8,,107.7,
38,19.0,25.39,,,106.9,,107.8,
39,19.5,25.39,,,106.8,,107.8,
40,20.0,25.33,,,107.0,,107.8,
41,20.5,25.38,,,106.8,,107.8,
42,21.0,25.27,,,106.8,,107.7,
43,21.5,25.42,,,107.0,,108.0,
44,22.0,25.37,,,107.0,,108.0,
45,22.5,25.23,,,106.7,,107.7,
46,23.0,25.35,,,106.9,,107.8,
47,23.5,25.27,,,106.8,,107.7,
48,24.0,25.39,,,106.8,,107.7,
49,24.5,25.3,,,106.8,,107.7,
