,Instrument_Time,TS-1401,R5_Time,httemp-130000801,httemp-130000901,TS-1402,tempg-164080000,tempg-164090000
0,0.0,168.1,440.1458,0.0,0.0,308.4,0.0,0.0
1,0.5,169.2,440.1505,2.5,2.5,308.5,2.5,2.5
2,1.0,167.3,440.1552,5.0,5.0,308.4,5.0,5.0
3,1.5,166.6,440.1599,7.5,7.5,308.5,7.5,7.5
4,2.0,169.2,440.1646,10.0,10.0,308.4,10.0,10.0
5,2.5,167.5,440.1693,12.5,12.5,308.4,12.5,12.5
6,3.0,166.7,440.1739,15.0,15.0,308.5,15.0,15.0
7,3.5,167.5,440.1786,17.5,17.5,308.3,17.5,17.5
8,4.0,168.2,440.1833,20.0,20.0,308.3,20.0,20.0
9,4.5,167.3,440.188,22.5,22.5,308.5,22.5,22.5
10,5.0,167.9,440.1921,24.5,24.5,308.5,24.5,24.5
11,5.5,168.6,,,,308.5,,
12,6.0,166.8,,,,308.3,,
13,6.5,167.0,,,,308.4,,
14,7.0,168.9,,,,308.5,,
15,7.5,167.8,,,,308.5,,
16,8.0,166.6,,,,308.5,,
17,8.5,167.9,,,,308.4,,
18,9.0,168.0,,,,308.3,,
19,9.5,166.9,,,,308.3,,
20,10.0,167.5,,,,308.5,,
21,10.5,168.6,,,,308.5,,
22,11.0,167.8,,,,308.3,,
23,11.5,166.6,,,,308.6,,
24,12.0,167.8,,,,308.6,,
25,12.5,167.4,,,,308.5,,
26,13.0,166.5,,,,308.6,,
27,13.5,168.0,,,,308.4,,
28,14.0,168.1,,,,308.5,,
29,14.5,167.0,,,,308.5,,
30,15.0,168.0,,,,308.5,,
31,15.5,168.8,,,,308.5,,
32,16.0,167.4,,,,308.5,,
33,16.5,167.7,,,,308.4,,
34,17.0,169.2,,,,308.5,,
35,17.5,168.1,,,,308.4,,
36,18.0,166.6,,,,308.5,,
37,18.5,167.5,,,,308.5,,
38,19.0,168.2,,,,308.5,,
39,19.5,166.5,,,,308.4,,
40,20.0,167.1,,,,308.5,,
41,20.5,168.5,,,,308.4,,
42,21.0,168.6,,,,308.4,,
43,21.5,166.4,,,,308.5,,
44,22.0,166.9,,,,308.5,,
45,22.5,167.2,,,,308.6,,
46,23.0,165.6,,,,308.5,,
47,23.5,165.9,,,,308.5,,
48,24.0,167.9,,,,308.4,,
49,24.5,167.7,,,,308.6,,
