,Instrument_Time,TF-7205,R5_Time,tempg-115140000,TF-7202,tempg-115070000,TF-7203,tempg-115090000,TF-7204,tempg-115110000,TF-7201,tempg-115040000
0,0.0,133.2,501.6963,0.0,91.37,0.0,115.1,0.0,136.2,0.0,89.0,0.0
1,0.5,133.5,501.6905,2.5,91.22,2.5,115.0,2.5,136.6,2.5,88.61,2.5
2,1.0,133.4,501.6915,5.0,91.14,5.0,114.9,5.0,136.6,5.0,88.47,5.0
3,1.5,133.5,501.6905,7.5,91.27,7.5,115.1,7.5,136.4,7.5,88.68,7.5
4,2.0,133.8,501.6881,10.0,91.3,10.0,115.1,10.0,137.0,10.0,88.57,10.0
5,2.5,133.7,501.685,12.5,91.32,12.5,115.1,12.5,137.4,12.5,88.61,12.5
6,3.0,134.0,501.6816,15.0,91.37,15.0,115.1,15.0,137.9,15.0,88.81,15.0
7,3.5,133.9,501.6781,17.5,91.2,17.5,114.9,17.5,137.8,17.5,88.46,17.5
8,4.0,134.2,501.6746,20.0,91.29,20.0,114.9,20.0,137.4,20.0,88.46,20.0
9,4.5,134.1,501.6711,22.5,91.44,22.5,114.9,22.5,137.3,22.5,88.54,22.5
10,5.0,134.1,501.666,24.5,91.41,24.5,114.7,24.5,137.0,24.5,88.33,24.5
11,5.5,134.0,,,91.37,,114.8,,137.2,,88.36,
12,6.0,134.0,,,91.28,,114.6,,137.2,,88.42,
13,6.5,134.1,,,91.45,,114.8,,137.6,,88.42,
14,7.0,134.3,,,91.43,,114.7,,137.3,,88.6,
15,7.5,134.2,,,91.24,,114.7,,137.1,,88.56,
16,8.0,134.2,,,91.18,,114.7,,136.9,,88.41,
17,8.5,134.4,,,91.3,,114.8,,136.9,,88.48,
18,9.0,134.5,,,91.23,,114.8,,137.3,,88.61,
19,9.5,134.5,,,91.37,,115.0,,137.3,,88.68,
20,10.0,134.7,,,91.3,,115.1,,137.4,,88.79,
21,10.5,134.6,,,91.21,,114.9,,137.3,,88.67,
22,11.0,134.3,,,91.34,,114.7,,136.9,,88.66,
23,11.5,134.0,,,91.31,,114.8,,136.6,,88.57,
24,12.0,134.0,,,91.31,,114.8,,136.7,,88.47,
25,12.5,133.9,,,91.33,,115.1,,136.9,,88.58,
26,13.0,133.8,,,91.4,,115.1,,136.9,,88.72,
27,13.5,133.8,,,91.26,,115.0,,136.7,,88.37,
28,14.0,133.8,,,91.32,,115.0,,136.8,,88.43,
29,14.5,134.0,,,91.32,,115.4,,136.5,,88.42,
30,15.0,133.8,,,91.33,,115.0,,136.5,,88.31,
31,15.5,134.2,,,91.39,,115.0,,136.6,,88.43,
32,16.0,134.0,,,91.2,,114.8,,136.3,,88.47,
33,16.5,134.1,,,91.18,,114.8,,136.5,,88.44,
34,17.0,134.0,,,91.11,,114.7,,136.5,,88.4,
35,17.5,133.8,,,91.1,,114.6,,136.4,,88.46,
36,18.0,133.9,,,91.11,,114.5,,136.4,,88.48,
37,18.5,134.1,,,91.27,,114.7,,136.7,,88.86,
38,19.0,134.4,,,91.28,,114.8,,136.7,,88.93,
39,19.5,134.4,,,91.18,,114.8,,136.2,,89.11,
40,20.0,134.5,,,91.2,,114.9,,136.5,,89.38,
41,20.5,134.6,,,91.26,,115.1,,136.4,,89.49,
42,21.0,134.6,,,91.3,,114.9,,136.0,,89.42,
43,21.5,134.8,,,91.27,,114.9,,136.0,,89.42,
44,22.0,134.5,,,91.23,,114.8,,135.9,,89.26,
45,22.5,134.4,,,91.05,,114.6,,135.4,,89.04,
46,23.0,134.5,,,91.05,,114.7,,135.9,,89.27,
47,23.5,134.2,,,91.13,,114.9,,136.5,,89.29,
48,24.0,134.1,,,91.12,,114.8,,136.7,,89.42,
49,24.5,133.9,,,91.14,,114.9,,136.5,,89.48,
