,Instrument_Time,TS-8113,R5_Time,httemp-100100101,TS-8213
0,0.0,103.5,501.6963,0.0,97.96
1,0.5,103.8,501.6905,2.5,98.04
2,1.0,103.6,501.6915,5.0,97.99
3,1.5,103.5,501.6905,7.5,98.05
4,2.0,103.7,501.6881,10.0,98.11
5,2.5,103.6,501.685,12.5,98.01
6,3.0,103.6,501.6816,15.0,97.99
7,3.5,103.6,501.6781,17.5,98.0
8,4.0,103.5,501.6746,20.0,97.98
9,4.5,103.5,501.6711,22.5,97.93
10,5.0,103.6,501.666,24.5,98.09
11,5.5,103.5,,,97.96
12,6.0,103.5,,,97.96
13,6.5,103.6,,,97.99
14,7.0,103.5,,,97.88
15,7.5,103.6,,,98.08
16,8.0,103.5,,,98.02
17,8.5,103.5,,,97.96
18,9.0,103.6,,,98.02
19,9.5,103.5,,,98.0
20,10.0,103.4,,,97.87
21,10.5,103.7,,,98.14
22,11.0,103.5,,,97.98
23,11.5,103.5,,,98.1
24,12.0,103.4,,,97.75
25,12.5,103.5,,,98.0
26,13.0,103.5,,,97.89
27,13.5,103.6,,,98.14
28,14.0,103.7,,,97.99
29,14.5,103.6,,,97.99
30,15.0,103.6,,,98.02
31,15.5,103.6,,,98.08
32,16.0,103.5,,,97.95
33,16.5,103.6,,,97.94
34,17.0,103.7,,,98.0
35,17.5,103.6,,,98.01
36,18.0,103.8,,,98.07
37,18.5,103.6,,,98.08
38,19.0,103.6,,,98.07
39,19.5,103.6,,,98.04
40,20.0,103.5,,,97.85
41,20.5,103.6,,,97.95
42,21.0,103.7,,,98.03
43,21.5,103.6,,,98.12
44,22.0,103.8,,,98.11
45,22.5,103.5,,,97.88
46,23.0,103.6,,,97.95
47,23.5,103.6,,,98.0
48,24.0,103.7,,,98.03
49,24.5,103.5,,,97.95
