,Instrument_Time,TS-8114,R5_Time,httemp-100100114,TS-8214,TS-8014
0,0.0,67.72,501.6963,0.0,64.87,65.78
1,0.5,67.86,501.6905,2.5,64.81,65.8
2,1.0,67.92,501.6915,5.0,64.85,65.84
3,1.5,67.72,501.6905,7.5,64.87,65.84
4,2.0,67.89,501.6881,10.0,64.91,65.91
5,2.5,67.79,501.685,12.5,64.91,65.94
6,3.0,67.8,501.6816,15.0,64.85,65.88
7,3.5,67.74,501.6781,17.5,64.86,65.97
8,4.0,67.79,501.6746,20.0,64.72,65.82
9,4.5,67.78,501.6711,22.5,64.88,65.81
10,5.0,67.87,501.666,24.5,64.92,65.94
11,5.5,67.76,,,64.69,65.84
12,6.0,67.77,,,64.81,65.89
13,6.5,67.59,,,64.7,65.85
14,7.0,67.69,,,64.75,65.79
15,7.5,67.76,,,64.93,65.91
16,8.0,67.78,,,64.82,65.83
17,8.5,67.68,,,64.66,65.77
18,9.0,67.76,,,64.83,65.88
19,9.5,67.72,,,64.9,65.84
20,10.0,67.7,,,64.81,65.77
21,10.5,67.82,,,64.81,65.94
22,11.0,67.61,,,64.75,65.82
23,11.5,67.86,,,64.89,65.93
24,12.0,67.53,,,64.7,65.73
25,12.5,67.74,,,64.81,65.87
26,13.0,67.67,,,64.83,65.75
27,13.5,67.85,,,64.86,65.75
28,14.0,67.76,,,64.84,65.83
29,14.5,67.82,,,64.87,65.84
30,15.0,67.77,,,64.8,65.94
31,15.5,67.74,,,64.82,65.86
32,16.0,67.83,,,64.85,65.78
33,16.5,67.77,,,64.81,65.85
34,17.0,67.91,,,64.87,65.98
35,17.5,67.78,,,64.71,65.92
36,18.0,67.93,,,64.89,65.96
37,18.5,67.82,,,64.71,65.9
38,19.0,67.83,,,64.75,65.83
39,19.5,67.76,,,64.77,65.82
40,20.0,67.63,,,64.7,65.61
41,20.5,67.75,,,64.76,65.81
42,21.0,67.81,,,64.85,65.92
43,21.5,67.87,,,64.78,65.93
44,22.0,67.87,,,64.83,65.94
45,22.5,67.55,,,64.73,65.85
46,23.0,67.8,,,64.81,65.8
47,23.5,67.69,,,64.84,65.79
48,24.0,67.89,,,64.92,65.96
49,24.5,67.73,,,64.77,65.81
